Water level results (meter) exported from C:\Users\ljia\Desktop\XSCal_1D_SDK_clean\XSCal_1D_SDK\bin\Debug\AutomaticXSCal\Model\run1\SonghuaHDv2-1.mhydro - Result Files\HD_Songhua.res1d on 9/6/2017 12:56:26 PM
Branch name	Chainage	X coordinate	Y coordinate	Min. value	Max. value	Mark 1 level	Mark 2 level	Mark 3 level
Main	0	1658629.35790597	5128890.14652034	110.949676513672	119.417411804199	120	110	120
Main	9937.9775390625	1665419.13225478	5135690.92244731	110.053894042969	118.659568786621	119.090911865234	109.090911865234	119.090911865234
Main	19875.955078125	1663828.86025728	5144740.94186519	109.144691467285	117.943496704102	118.181816101074	108.181816101074	118.181816101074
Main	29813.931640625	1670700.26722179	5150705.01693035	108.238792419434	117.252601623535	117.272727966309	107.272727966309	117.272727966309
Main	39751.91015625	1675791.06244531	5158346.26334334	107.329216003418	116.319786071777	116.363639831543	106.363639831543	116.363639831543
Main	49689.88671875	1682061.77445725	5164134.66932924	106.420043945313	115.413146972656	115.454544067383	105.454544067383	115.454544067383
Main	59627.86328125	1691170.42033304	5164844.66454648	105.511169433594	114.506553649902	114.545455932617	104.545455932617	114.545455932617
Main	69565.84375	1700378.73030381	5162851.98560092	104.602470397949	113.600067138672	113.636360168457	103.636360168457	113.636360168457
Main	79503.8203125	1709710.65363061	5163626.49290976	103.693496704102	112.693748474121	112.727272033691	102.727272033691	112.727272033691
Main	89441.796875	1714588.12088794	5158165.5653582	102.784141540527	111.787712097168	111.818183898926	101.818183898926	111.818183898926
Main	99379.7734375	1723054.71454731	5162176.72084325	101.875053405762	110.882133483887	110.909088134766	100.909088134766	110.909088134766
Main	109317.75	1726458.105939	5170149.82136581	100.966156005859	109.977233886719	110	100	110
Main	119255.7265625	1727668.43368686	5174932.01967085	100.057403564453	109.073348999023	109.090911865234	99.0909118652344	109.090911865234
Main	129193.703125	1736726.7649137	5172883.40299573	99.1482162475586	108.171859741211	108.181816101074	98.1818161010742	108.181816101074
Main	139131.6875	1742685.55166906	5168472.58106839	98.2389831542969	107.276901245117	107.272727966309	97.2727279663086	107.272727966309
Main	149069.65625	1752027.74331381	5168880.09974949	97.329948425293	106.383666992188	106.363639831543	96.363639831543	106.363639831543
Main	159007.640625	1760860.03478822	5170533.15955874	96.4210586547852	105.492057800293	105.454544067383	95.4545440673828	105.454544067383
Main	168945.609375	1768495.87240782	5170831.97692223	95.5122528076172	104.602935791016	104.545455932617	94.5454559326172	104.545455932617
Main	178883.59375	1776717.76107535	5174931.96312181	94.6029357910156	103.717353820801	103.636360168457	93.636360168457	103.636360168457
Main	188821.5625	1782705.19956293	5181616.15245609	93.6937942504883	102.836769104004	102.727272033691	92.7272720336914	102.727272033691
Main	198759.546875	1792211.61795439	5181597.0866363	92.7847595214844	101.963134765625	101.818183898926	91.8181838989258	101.818183898926
Main	208697.515625	1801608.31428496	5178868.10626032	91.8759918212891	101.099052429199	100.909088134766	90.9090881347656	100.909088134766
Main	218635.5	1811022.759547	5181706.29600064	90.9664306640625	100.247940063477	100	90	100
Main	228573.484375	1816507.21693805	5188842.00430357	90.0597991943359	99.4047164916992	99.0909118652344	89.0909118652344	99.0909118652344
Main	238511.453125	1825882.12609801	5189590.99584893	89.1506729125977	98.4999313354492	98.1818161010742	88.1818161010742	98.1818161010742
Main	248449.4375	1830040.06513965	5182249.2642676	88.2416687011719	97.605110168457	97.2727279663086	87.2727279663086	97.2727279663086
Main	258387.40625	1837386.55313171	5185673.58587425	87.3327560424805	96.714225769043	96.363639831543	86.363639831543	96.363639831543
Main	268325.375	1844536.38013113	5188612.81086393	86.4236755371094	95.8288269042969	95.4545440673828	85.4545440673828	95.4545440673828
Main	278263.375	1849551.35389072	5197072.06153269	85.5144805908203	94.9509963989258	94.5454559326172	84.5454559326172	94.5454559326172
Main	288201.34375	1852099.77889893	5206240.18471087	84.6054153442383	94.0834655761719	93.636360168457	83.636360168457	93.636360168457
Main	298139.3125	1854287.41955482	5214598.95187032	83.6963806152344	93.2297897338867	92.7272720336914	82.7272720336914	92.7272720336914
Main	308077.28125	1854812.29471088	5223841.13124577	82.7876892089844	92.394416809082	91.8181838989258	81.8181838989258	91.8181838989258
Main	318015.28125	1858056.60171976	5233154.4885729	81.8774566650391	91.5828247070313	90.9090881347656	80.9090881347656	90.9090881347656
Main	327953.25	1864233.64485039	5240719.80416492	80.9733657836914	90.7868881225586	90	80	90
Main	337891.21875	1865566.23474366	5249633.16199935	80.0642471313477	89.9026718139648	89.0909118652344	79.0909118652344	89.0909118652344
Main	347829.21875	1867337.37079771	5258850.94032493	79.1552352905273	89.0016860961914	88.1818161010742	78.1818161010742	88.1818161010742
Main	357767.1875	1873237.82733883	5265423.37588908	78.246223449707	88.107536315918	87.2727279663086	77.2727279663086	87.2727279663086
Main	367705.15625	1879942.48821386	5272687.34761391	77.3373489379883	87.2176895141602	86.363639831543	76.363639831543	86.363639831543
Main	377643.125	1885092.88280968	5280834.06528515	76.4271545410156	86.3335876464844	85.4545440673828	75.4545440673828	85.4545440673828
Main	387581.125	1886152.80075854	5290134.86126545	75.5229721069336	85.4421157836914	84.5454559326172	74.5454559326172	84.5454559326172
Main	397519.09375	1886862.43654621	5298320.78249026	74.6048049926758	84.4319381713867	83.636360168457	73.636360168457	83.636360168457
Main	407457.0625	1895750.94291403	5298496.12154411	73.7431106567383	83.3929824829102	82.7272720336914	72.7272720336914	82.7272720336914
Main	417395.03125	1894612.10479598	5306740.54305559	73.1900482177734	82.2925720214844	81.8181838989258	71.8181838989258	81.8181838989258
